Kereta Api,,,,,,,,,,,,,
,Jumlah Penumpang Kereta Api (Ribu Orang),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jabodetabek,26848,24617,26012,25543,27057,26739,29241,28209,27608,29933,27522,28825,328154
Non Jabodetabek (Jawa),6742,6780,6265,8698,7608,7785,8182,7083,7184,7300,7327,8712,89665
Jawa (Jabodetabek+Non Jabodetabek),33590,31397,32277,34241,34665,34524,37422,35292,34792,37233,34849,37537,417819
Non Jawa (Sumatera + Sulawesi),512,496,456,585,539,520,533,491,494,519,519,599,6262
Kereta Bandara,618,603,578,704,650,655,711,660,698,675,651,775,7977
MRT,3134,2595,2876,2608,3176,3475,3784,3739,3556,3861,3515,3591,39910
LRT,1618,1646,1762,1911,2154,2178,2536,2494,2412,2695,2511,2703,26620
Kereta cepat (Whoosh),388,429,386,410,520,536,618,554,529,516,547,624,6056
Total,39860,37166,38335,40459,41704,41888,45605,43230,42481,45499,42590,45829,504644
